mobility_model,cmr,seed,scheme,total_cost
gauss_markov,1.0,1004,AM-RL-LU (DQN),8723.0
gauss_markov,1.0,1005,Static Movement-based,7464.0
gauss_markov,1.0,1005,Static Distance-based,7464.0
gauss_markov,1.0,1005,Static Time-based,9024.0
gauss_markov,1.0,1005,AM-RL-LU (Q-learning),17806.0
gauss_markov,1.0,1005,AM-RL-LU (DQN),7854.0
gauss_markov,2.0,1001,Static Movement-based,11566.0
gauss_markov,2.0,1001,Static Distance-based,11566.0
gauss_markov,2.0,1001,Static Time-based,12776.0
gauss_markov,2.0,1001,AM-RL-LU (Q-learning),14584.0
gauss_markov,2.0,1001,AM-RL-LU (DQN),13334.0
gauss_markov,2.0,1002,Static Movement-based,11005.0
gauss_markov,2.0,1002,Static Distance-based,11005.0
gauss_markov,2.0,1002,Static Time-based,12405.0
gauss_markov,2.0,1002,AM-RL-LU (Q-learning),15023.0
gauss_markov,2.0,1002,AM-RL-LU (DQN),12599.0
gauss_markov,2.0,1003,Static Movement-based,10420.0
gauss_markov,2.0,1003,Static Distance-based,10420.0
gauss_markov,2.0,1003,Static Time-based,12020.0
gauss_markov,2.0,1003,AM-RL-LU (Q-learning),13892.0
gauss_markov,2.0,1003,AM-RL-LU (DQN),11514.0
gauss_markov,2.0,1004,Static Movement-based,11133.0
gauss_markov,2.0,1004,Static Distance-based,11133.0
gauss_markov,2.0,1004,Static Time-based,12363.0
gauss_markov,2.0,1004,AM-RL-LU (Q-learning),13717.0
gauss_markov,2.0,1004,AM-RL-LU (DQN),12159.0
gauss_markov,2.0,1005,Static Movement-based,10579.0
gauss_markov,2.0,1005,Static Distance-based,10579.0
gauss_markov,2.0,1005,Static Time-based,12139.0
gauss_markov,2.0,1005,AM-RL-LU (Q-learning),13219.0
gauss_markov,2.0,1005,AM-RL-LU (DQN),11731.0
gauss_markov,5.0,1001,Static Movement-based,21471.0
gauss_markov,5.0,1001,Static Distance-based,21471.0
gauss_markov,5.0,1001,Static Time-based,22681.0
gauss_markov,5.0,1001,AM-RL-LU (Q-learning),28017.0
gauss_markov,5.0,1001,AM-RL-LU (DQN),25123.0
gauss_markov,5.0,1002,Static Movement-based,20742.0
gauss_markov,5.0,1002,Static Distance-based,20742.0
gauss_markov,5.0,1002,Static Time-based,22142.0
gauss_markov,5.0,1002,AM-RL-LU (Q-learning),29836.0
gauss_markov,5.0,1002,AM-RL-LU (DQN),24460.0
gauss_markov,5.0,1003,Static Movement-based,19933.0
gauss_markov,5.0,1003,Static Distance-based,19933.0
gauss_markov,5.0,1003,Static Time-based,21533.0
gauss_markov,5.0,1003,AM-RL-LU (Q-learning),28873.0
gauss_markov,5.0,1003,AM-RL-LU (DQN),23295.0
gauss_markov,5.0,1004,Static Movement-based,21213.0
gauss_markov,5.0,1004,Static Distance-based,21213.0
gauss_markov,5.0,1004,Static Time-based,22443.0
gauss_markov,5.0,1004,AM-RL-LU (Q-learning),28683.0
gauss_markov,5.0,1004,AM-RL-LU (DQN),24795.0
gauss_markov,5.0,1005,Static Movement-based,19770.0
gauss_markov,5.0,1005,Static Distance-based,19770.0
gauss_markov,5.0,1005,Static Time-based,21330.0
gauss_markov,5.0,1005,AM-RL-LU (Q-learning),26070.0
gauss_markov,5.0,1005,AM-RL-LU (DQN),22806.0
